//num_processes:
10
//Quantum:
2
P_ID   CPU_burst  I/O_burst  Priority
0           10              4             2
1            8              2             1
2           12              0             5
3            2              4             4
4            8              3             0
5            6              4             2     
6            4              0             5
7           16              7             5
8           14              0             1
9            2             10            1
